time_jd,phase,projected_z,relative_flux
2452826.503521,0.964536,1.996952,1.000000
2452826.506993,0.965522,1.945869,1.000000
2452826.510465,0.966507,1.894813,1.000000
2452826.513938,0.967492,1.843794,1.000000
2452826.517410,0.968477,1.792822,1.000000
2452826.520882,0.969462,1.741911,1.000000
2452826.524354,0.970447,1.691074,1.000000
2452826.527827,0.971432,1.640326,1.000000
2452826.531299,0.972417,1.589683,1.000000
2452826.534771,0.973402,1.539165,1.000000
2452826.538243,0.974387,1.488792,1.000000
2452826.541715,0.975373,1.438587,1.000000
2452826.545188,0.976358,1.388577,1.000000
2452826.548660,0.977343,1.338792,1.000000
2452826.552132,0.978328,1.289265,1.000000
2452826.555604,0.979313,1.240036,1.000000
2452826.559077,0.980298,1.191150,1.000000
2452826.562549,0.981283,1.142659,1.000000
2452826.566021,0.982268,1.094622,0.999570
2452826.569493,0.983253,1.047112,0.998080
2452826.572965,0.984238,1.000209,0.996245
2452826.576438,0.985224,0.954012,0.991815
2452826.579910,0.986209,0.908637,0.988414
2452826.583382,0.987194,0.864219,0.986666
2452826.586854,0.988179,0.820922,0.986041
2452826.590327,0.989164,0.778939,0.985550
2452826.593799,0.990149,0.738502,0.985154
2452826.597271,0.991134,0.699886,0.984830
2452826.600743,0.992119,0.663415,0.984562
2452826.604215,0.993104,0.629469,0.984343
2452826.607688,0.994089,0.598481,0.984163
2452826.611160,0.995075,0.570940,0.984018
2452826.614632,0.996060,0.547371,0.983904
2452826.618104,0.997045,0.528309,0.983817
2452826.621577,0.998030,0.514259,0.983757
2452826.625049,0.999015,0.505640,0.983722
2452826.628521,0.000000,0.502734,0.983710
2452826.631993,0.000985,0.505640,0.983722
2452826.635465,0.001970,0.514259,0.983757
2452826.638938,0.002955,0.528309,0.983817
2452826.642410,0.003940,0.547371,0.983904
2452826.645882,0.004925,0.570940,0.984018
2452826.649354,0.005911,0.598481,0.984163
2452826.652827,0.006896,0.629469,0.984343
2452826.656299,0.007881,0.663415,0.984562
2452826.659771,0.008866,0.699886,0.984830
2452826.663243,0.009851,0.738502,0.985154
2452826.666715,0.010836,0.778939,0.985550
2452826.670188,0.011821,0.820922,0.986041
2452826.673660,0.012806,0.864219,0.986666
2452826.677132,0.013791,0.908637,0.988414
2452826.680604,0.014776,0.954012,0.991815
2452826.684077,0.015762,1.000209,0.996245
2452826.687549,0.016747,1.047112,0.998080
2452826.691021,0.017732,1.094622,0.999570
2452826.694493,0.018717,1.142659,1.000000
2452826.697965,0.019702,1.191150,1.000000
2452826.701438,0.020687,1.240036,1.000000
2452826.704910,0.021672,1.289265,1.000000
2452826.708382,0.022657,1.338792,1.000000
2452826.711854,0.023642,1.388577,1.000000
2452826.715327,0.024627,1.438587,1.000000
2452826.718799,0.025613,1.488792,1.000000
2452826.722271,0.026598,1.539165,1.000000
2452826.725743,0.027583,1.589683,1.000000
2452826.729215,0.028568,1.640326,1.000000
2452826.732688,0.029553,1.691074,1.000000
2452826.736160,0.030538,1.741911,1.000000
2452826.739632,0.031523,1.792822,1.000000
2452826.743104,0.032508,1.843794,1.000000
2452826.746577,0.033493,1.894813,1.000000
2452826.750049,0.034478,1.945869,1.000000
2452826.753521,0.035464,1.996952,1.000000
